,_id,Datetime,Tweet Id,Text,Username
24,641e939aaf9b5844fe895a73,1678813401000,1635688074570260480,@rimreaper0 @indomitablesoul @Jairam_Ramesh Like I said even Adani did not directly take on Hindenberg and refute their allegations. Adani CFO tried to obfuscate. He could not say that shell companies named by Hindenberg are real companies. That's how it is.,Sandeep59797292
25,641e939aaf9b5844fe895a74,1678813216000,1635687299383181312,"@rimreaper0 @indomitablesoul @Jairam_Ramesh They made a mistake. They are getting screwed. Biden has acknowledged the situation and shared a plan. That's how it should be. 
Adani-Hindenberg story is totally different. I thought you could discern this much. Why being willfully blind?",Sandeep59797292
26,641e939aaf9b5844fe895a75,1678812709000,1635685174418735104,@GopalSri Hindenberg looking for that hidden bug that replaced SVB with Adani 😁😁 @KanchanGupta @Suhelseth @TheJaggi @Shehzad_Ind @ANI,ravitrr
27,641e939aaf9b5844fe895a76,1678812185000,1635682973818425345,"@asfastastgv @BhavikaKapoor5 @tinlaikhumbi Baseless feelings ? Is it not a fact that sl minister claimed Modi insisted them to give Adani some project , hindenberg put forth proofs of Vinod adani firms ingesting money into gautham Adani group   Prove me that they aren’t owned by Vinod or fund didn’t flow into Adani group",49naveen
28,641e939aaf9b5844fe895a77,1678812146000,1635682813004627968,On a lighter note &amp; reality with some fun... (not for Hindenberg and Soros lovers....) 😂 https://t.co/Hd0HLE0G2b,shitul905
29,641e939aaf9b5844fe895a78,1678812064000,1635682469503545354,@singhalrajk hindenberg  . . . . LOL,anukulw
30,641e939aaf9b5844fe895a79,1678811474000,1635679995279577088,@pbhushan1 You should first ask hindenberg how much money they made in Adani episode? Do you have the guts?,SrShreeram
31,641e939aaf9b5844fe895a7a,1678811051000,1635678217171537920,"Breaking || Hindenberg’s Own account was with First Republic Bank.
 
70% of their deposits are washed away. More than they made by short selling of Adani Stocks.

This is KARMA 😇😇😂

Janeudhari par Mahadev kripa jee 🙏",roshovani
32,641e939aaf9b5844fe895a7b,1678810355000,1635675298141200384,"@RahulGandhi थोड़ा hindenberg से भी पूछ लो, SVB की रिपोर्ट क्यों नहीं निकाली।",UttamRYadav
33,641e939aaf9b5844fe895a7c,1678810197000,1635674635437219840,@sanjeevsanyal where was hindenberg report of these things lol,bikramjitbiswas
34,641e939aaf9b5844fe895a7d,1678809540000,1635671880861630465,"@drunkJournalist @rishibagree No, hindenberg did not make billions.
They shorted their bonds and not stock. How much is the profitability of Hindenberg? Their position size?
     The best thing is that you remain drunk, journalism is beyond your scope.",pareshkp22
35,641e939aaf9b5844fe895a7e,1678808833000,1635668915702611968,"@SupriyaShrinate Abe yeh adani ne kitne rojgaar diye yeh bhi bata jara....hindenberg ki reports itni achi hai , itne ache analyst hai woh toh khud ke desh ki banks ko kyo nahi bacha paye",taparia_sharad
36,641e939aaf9b5844fe895a7f,1678807901000,1635665005566922757,"Thou shall bite both hands
#SVBCollapse     #Adani        #Hindenberg        #BeautifulWhispers",ODarshak
37,641e939aaf9b5844fe895a80,1678807219000,1635662146863505410,"Covid experts
Vaccine experts
Hindenberg experts
Short Sell Experts
Now guess what...
SVB Experts...
If there is no You Tube who will enlighten us?... 🤣🤣",imprabhakaranc
38,641e939aaf9b5844fe895a81,1678806881000,1635660727213232128,@zykaar @OfficeOfDGP @RahulGandhi That they will not answer. The fact that Adani is sheepish about suing Hindenberg tells everything about how many skeletons are in the cupboard.,PH_Omnibus
